,batch_size,Maly,MSQ,GPFQ
0,10,1.1427373,1.0298613673968346,0.041386255990585895
1,30,7.2090673,1.031734946659239,0.08271466467920724
2,50,79.96164,1.0319494348513227,0.11455524823132564
3,75,133.3961,1.0307947914488722,0.1429616026219706
4,100,62.98269,1.0301210265502325,0.16087878975627562
5,125,61.309063,1.0297798361591088,0.17360776532100786
6,150,74.91215,1.0299787852266276,0.1841383454406649
7,175,55.22907,1.0280440399547603,0.2097756081643785
8,200,23.46715,1.02867714660513,0.2179497699616579
