,batch_size,Maly,MSQ,GPFQ
0,10,0.11889947,0.9400829206954171,0.0701355497914509
1,30,0.19384873,0.9378721852967107,0.09882015485643408
2,50,0.25870588,0.9387879028412478,0.11735497755794792
3,75,0.31787908,0.936675602209967,0.12649001426313605
4,100,0.37369838,0.9368711023676707,0.1301323184863157
5,125,0.4058626,0.9361426938498725,0.1326376609904521
6,150,0.43923455,0.936140820998507,0.13772454022734576
7,175,0.48293132,0.9365441720334738,0.13787919106180488
8,200,0.5087112,0.9360713378447599,0.14090194571318373
