,m,layer,error
0,25,1,0.010527036
1,25,2,0.045335326
2,25,3,0.13503653
3,25,4,0.2900619
4,25,5,52.883823
5,50,1,0.015178304
6,50,2,0.06382458
7,50,3,0.13481827
8,50,4,0.20033798
9,50,5,2.376309
10,75,1,0.017864816
11,75,2,0.07188946
12,75,3,0.13874792
13,75,4,0.17299859
14,75,5,1.1280649
15,100,1,0.02036749
16,100,2,0.08020114
17,100,3,0.15946406
18,100,4,0.16693987
19,100,5,1.0605042
