,batch_size,Maly,MSQ,GPFQ
0,10,0.054733306,0.05046251000748673,0.0077947680302314385
1,30,0.046721477,0.0579493387085348,0.01212215879182685
2,50,0.05086997,1.018462197338339,0.016279986987773984
3,75,0.044669364,0.8608625291214841,0.018656741310494246
4,100,0.056691185,0.7473610278926709,0.0203747531387107
5,125,0.040073514,0.6614091324260879,0.022447491842752357
6,150,0.03946268,0.6034826472481352,0.023842069968578117
7,175,0.04102299,0.5932700806793066,0.025059510036888236
8,200,0.047347847,0.5541374310848557,0.025253085112916858
