,batch_size,Maly,MSQ,GPFQ
0,10,0.1376188,0.07202397819038116,0.00658141950584479
1,30,0.087574475,0.07661513174502309,0.011826930703253642
2,50,0.108281195,1.6258764972908835,0.01601619704038339
3,75,0.10473235,1.3339027672224537,0.020079529514836037
4,100,0.1190281,1.1493290896863824,0.022839843454764024
5,125,0.051686227,1.0156759316950097,0.024928898377423375
6,150,0.07287355,0.9286808160389789,0.026631702316712986
7,175,0.056981828,0.8569261114823998,0.028166605512202122
8,200,0.06634582,0.7999635426990345,0.029228213794884196
